21481	4	3440	126	584795	17336	4	89978	89971	4900	358
21541	2	3448	102	586430	17363	4	90229	90222	4913	359
21601	4	3600	87	588112	17417	4	90479	90472	4928	360
21661	3	3456	114	589765	17447	4	90731	90724	4942	361
21721	4	3432	126	591453	17475	4	90985	90978	4957	362
21781	4	3616	87	593082	17502	4	91236	91229	4971	363
21841	4	3560	87	594740	17578	4	91484	91477	4985	364
21901	4	3600	87	596383	17653	4	91731	91724	4998	365
21961	4	3424	126	598053	17712	4	91979	91972	5012	366
22021	4	3456	126	599681	17739	4	92228	92221	5026	367
22081	4	3424	126	601312	17766	4	92478	92471	5040	368
22141	4	3408	126	603000	17794	4	92728	92721	5053	369
22201	3	3424	114	604555	17820	4	92981	92974	5066	370
22261	3	3440	114	606249	17848	4	93233	93226	5080	371
22321	4	3608	87	607944	17922	4	93484	93477	5095	372
22381	4	3608	87	609596	17999	4	93736	93729	5109	373
22441	4	3576	87	611224	18074	4	93990	93983	5123	374
22501	3	3616	75	612829	18149	4	94239	94232	5135	375
22561	4	3616	87	614507	18225	4	94491	94484	5150	376
22621	4	3600	87	616205	18304	4	94742	94735	5164	377
22681	3	3592	75	617880	18379	4	94994	94987	5178	378
22741	4	3600	87	619457	18451	4	95247	95240	5192	379
22801	4	3616	87	621069	18522	4	95499	95492	5206	380
22861	4	3592	87	622758	18600	4	95751	95744	5221	381
22921	4	3592	87	624415	18676	4	96004	95997	5234	382
22981	4	3600	87	626077	18753	4	96252	96245	5248	383
23041	4	3624	87	627749	18830	4	96505	96498	5262	384
23101	3	3600	75	629383	18905	4	96752	96745	5276	385
23161	3	3448	114	630932	18969	4	97000	96993	5289	386
23221	3	3472	114	632548	18996	4	97253	97246	5303	387
23281	4	3440	126	634253	19024	4	97508	97501	5316	388
23341	4	3400	126	635881	19051	4	97757	97750	5330	389
23401	4	3416	126	637484	19078	4	98006	97999	5344	390
23461	4	3424	126	639113	19105	4	98257	98250	5356	391
23521	4	3424	126	640761	19132	4	98505	98498	5370	392
23581	4	3584	87	642404	19205	4	98759	98752	5385	393
23641	4	3576	87	644138	19285	4	99012	99005	5399	394
23701	3	3568	75	645732	19357	4	99263	99256	5412	395
23761	4	3432	126	647261	19383	4	99510	99503	5426	396
23821	4	3424	126	648832	19409	4	99760	99753	5439	397
23881	4	3416	126	650581	19438	4	100013	100006	5453	398
23941	4	3448	126	652226	19465	4	100262	100255	5467	399
24001	4	3464	126	653908	19493	4	100513	100506	5481	400
24061	4	3440	126	655512	19519	4	100762	100755	5493	401
24121	4	3600	87	657164	19582	4	101012	101005	5507	402
24181	4	3592	87	658781	19656	4	101260	101253	5520	403
